project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
twbs,19242,1,0.96,0,0.47,0,0,6,4,0
twbs,13388,0,0.87,0,22.19,0,0,266,221,1
twbs,6518,0,0.18,0,2.53,2,2,0,0,0
twbs,5024,0,0,0,10.71,0,0,3,3,0
twbs,17069,1,0.56,0,1.31,1,1,4,1,0
twbs,18313,0,0,0,0,1,0,11,1,1
twbs,13619,0,0.27,0,0.08,2,0,0,0,1
twbs,2402,0,0,0,1.33,1,1,0,0,0
twbs,6557,0,0,0,0.01,0,0,0,0,0
twbs,351,0,0,0,0.79,0,0,0,0,1
twbs,11950,0,0.6,0,1.66,0,0,0,0,0
twbs,21580,1,0.5,0,3.32,0,0,0,0,0
twbs,1196,0,0.25,0,0.04,0,0,0,0,1
twbs,638,0,0.2,0,1.74,0,0,0,0,0
twbs,8041,0,0.25,0,0.18,3,3,2,2,0
twbs,17792,0,0.33,0,6.9,0,0,3,3,0
twbs,17930,0,0.48,0,12.23,0,0,1,0,1
twbs,18303,0,0,0,3.85,0,0,0,4,0
twbs,20258,1,0.96,0,3.76,0,0,7,6,0
twbs,17487,0,0,0,0,0,0,0,0,1
twbs,14065,1,0.96,0,0.04,0,0,6,2,0
twbs,19140,1,0.89,0,0,0,0,4,2,0
twbs,425,0,0,0,5.65,1,1,0,0,0
twbs,1104,1,0.57,0,0.15,0,0,0,0,0
twbs,18634,0,0.27,0,339.36,0,0,0,0,0
twbs,14927,0,0.84,0,5.81,7,0,19,2,1
twbs,10463,0,0,0,37.7,2,2,0,0,0
twbs,10724,1,0.73,0,0.4,0,0,0,0,0
twbs,3960,0,0,0,24.02,0,0,30,3,1
twbs,6060,0,0,0,1.08,1,1,6,2,0
twbs,19862,1,0.89,0,0.01,0,0,343,313,0
twbs,12814,0,0.87,0,0.9,1,1,0,0,0
twbs,20696,1,0.89,0,0.08,0,0,5,1,0
twbs,7494,1,0.33,0,6.08,0,0,0,0,0
twbs,14746,1,0.87,0,24.8,10,10,12,0,0
twbs,3840,0,0,0,6.68,3,3,1,1,0
twbs,2010,0,0,0,0.75,1,1,0,0,0
twbs,16735,0,0,0,42.88,0,0,0,0,0
twbs,18098,0,0,0,0.01,0,0,2,2,0
twbs,16405,1,0.5,0,11.78,1,1,4,0,0
twbs,20294,1,0.6,0,0,0,0,9,9,0
twbs,15183,0,0.87,0,0.54,10,0,2879,2010,1
twbs,12055,1,0.7,0,0.23,0,0,0,0,0
twbs,7836,1,0.27,0,0.01,0,0,1,1,0
twbs,594,0,0,0,0.28,0,0,0,0,1
twbs,19288,0,0,0,4.47,2,2,1,0,0
twbs,389,0,0,0,0,0,0,15,12,0
twbs,9789,1,0.33,0,0,0,0,16,18,0
twbs,15455,1,0.96,0,0,0,0,158,120,0
twbs,17487,0,0,0,0,0,0,0,0,1
