project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
cocos2d-x,13540,0,0.81,3,0.01,0,0,15,12,1
cocos2d-x,8193,1,0.89,1,0.09,0,1,37,37,0
cocos2d-x,10602,1,0.64,1,0.02,0,1,4,0,0
cocos2d-x,8923,1,0.64,2,4.07,0,5,98,34,0
cocos2d-x,9454,1,0.89,1,0.04,0,1,1,1,0
cocos2d-x,5460,1,0.88,12,0.84,0,8,218,67,0
cocos2d-x,1832,0,0.57,8,4.33,0,4,293,144,0
cocos2d-x,14006,1,0.64,1,0.19,0,1,6,0,0
cocos2d-x,6490,0,0.01,0,155.03,0,0,0,0,0
cocos2d-x,4721,0,0.94,327,0.04,0,0,20893,17026,1
cocos2d-x,7947,0,0.5,0,7.83,0,0,0,0,1
cocos2d-x,12068,1,0.6,22,0.22,0,3,519,97,0
cocos2d-x,2446,1,0.97,2,0,0,2,13,11,0
cocos2d-x,5516,1,0.57,1,0,0,1,75,0,0
cocos2d-x,11840,1,0.94,1,0.02,0,1,1,1,0
cocos2d-x,7750,0,0.5,3,275.31,0,11,118,2,0
cocos2d-x,6938,0,0.5,1,0.81,0,0,1,1,1
cocos2d-x,12018,1,0.64,1,0,0,1,16,0,0
cocos2d-x,333,0,0,1,0,0,0,2,2,1
cocos2d-x,6086,0,0.64,3,0,0,0,0,51,1
cocos2d-x,17825,1,0.5,1,5.24,0,2,6,4,0
cocos2d-x,14385,0,0,1,8.62,0,1,9,0,0
cocos2d-x,14272,0,0.64,14,0,0,1,70,470,0
cocos2d-x,15003,1,0.94,1,0.28,0,1,4,2,0
cocos2d-x,758,1,0.95,1,0,0,1,2,2,0
cocos2d-x,7795,0,0.89,18,0,0,0,660,57,1
cocos2d-x,22,1,0.95,365,1.95,0,6,28740,500,0
cocos2d-x,14200,0,0.85,27,0.13,1,0,60,32,1
cocos2d-x,4190,0,0.64,1,0,0,0,1,1,1
cocos2d-x,6760,1,0.57,1,0.04,0,2,7,10,0
cocos2d-x,8902,0,0.84,1,34.89,0,0,1,1,1
cocos2d-x,16025,1,0.99,24,0.46,0,1,34,34,0
cocos2d-x,14604,1,0.97,1,0.03,0,1,4,0,0
cocos2d-x,3886,0,0,7,0.01,0,0,203,15,1
cocos2d-x,10528,1,0.85,90,0.24,0,10,74,27436,0
