pr_project,pr_id,First Status,Reputation,Changed file,Evaluation time,Nb Comments,Nb Commits,LC added,LC deleted,classes
rails,17616,Rejected,0,1,11.52,12,2,2,1,Non-Reopened
rails,17406,Rejected,0,1,0.25,3,1,24,2,Non-Reopened
rails,1630,Rejected,0,2,0.02,1,3,285,7,Non-Reopened
rails,2008,Rejected,0.66,0,385,0,0,7,0,Non-Reopened
rails,6655,Rejected,0,1,0.58,0,1,0,2,Non-Reopened
rails,1469,Rejected,0.67,0,0.12,0,0,0,0,Reopened
rails,15740,Rejected,0.25,0,0.01,1,0,51,0,Non-Reopened
rails,19575,Accepted,0.93,0,0.25,0,0,152,0,Non-Reopened
rails,4687,Accepted,0.9,1,0.02,0,1,6,2,Non-Reopened
rails,8255,Rejected,0.79,1,0,0,1,1,1,Non-Reopened
rails,24730,Accepted,0.78,2,0.19,0,1,4,4,Non-Reopened
rails,10412,Accepted,0.78,1,0.36,0,1,3,1,Non-Reopened
rails,20384,Rejected,0.77,4,48.95,11,0,82,17,Reopened
rails,23793,Accepted,0.5,0,0.21,0,0,7,0,Non-Reopened
rails,2931,Accepted,0.67,0,0.01,0,0,0,0,Non-Reopened
rails,21887,Accepted,0.81,2,0.02,0,1,0,2,Non-Reopened
rails,20955,Rejected,0.65,1,0,1,1,13,12,Non-Reopened
rails,6072,Rejected,0.78,0,0.22,0,0,0,0,Reopened
rails,17069,Accepted,0.5,0,147.14,0,0,0,0,Non-Reopened
rails,26004,Accepted,0.93,1,1.28,0,1,0,8,Non-Reopened
rails,26688,Rejected,0.86,2,0.87,2,0,9,18,Reopened
rails,1104,Rejected,0.5,1,0.03,2,0,1,1,Reopened
rails,13469,Accepted,0.68,6,0.04,0,1,1,2,Non-Reopened
rails,26238,Accepted,0.86,2,231.41,0,1,21,29,Non-Reopened
rails,19015,Accepted,0.33,1,0,0,1,5,2,Non-Reopened
rails,29461,Accepted,0.5,2,1.57,0,1,26,1,Non-Reopened
rails,18639,Rejected,0,1,0.44,1,0,8,0,Reopened
rails,11986,Accepted,0.25,1,4.02,0,1,4,0,Non-Reopened
rails,15512,Accepted,0.79,3,0.48,0,1,0,54,Non-Reopened
rails,21780,Accepted,0.74,1,1.55,0,1,17,19,Non-Reopened
rails,7552,Accepted,0.79,3,0.63,0,4,9,13,Non-Reopened
rails,11006,Rejected,0,0,0.54,2,0,9,0,Non-Reopened
rails,26972,Accepted,0.86,2,0.4,0,1,17,8,Non-Reopened
rails,21014,Rejected,0,1,35.17,9,4,1,4,Non-Reopened
rails,25578,Accepted,0.86,7,20.44,0,1,39,20,Non-Reopened
rails,4575,Accepted,0.88,3,0.16,0,1,20,22,Non-Reopened
rails,23223,Rejected,0.81,10,3.62,3,3,5,16,Non-Reopened
rails,20452,Accepted,0.79,6,0.08,0,1,68,17,Non-Reopened
rails,7813,Accepted,0.86,1,0.1,0,1,1,1,Non-Reopened
rails,27660,Accepted,0.74,4,2,0,1,32,7,Non-Reopened
rails,22383,Accepted,0.77,2,0,0,3,0,3,Non-Reopened
rails,17809,Accepted,0.62,1,0.02,0,1,9,1,Non-Reopened
rails,16713,Accepted,0.88,0,0,0,0,0,0,Non-Reopened
rails,23558,Accepted,0.86,1,0.2,0,1,9,3,Non-Reopened
rails,20358,Rejected,0.83,1,0.03,0,0,0,2,Reopened
rails,28027,Rejected,0.72,2,6.67,0,1,2,0,Non-Reopened
rails,11635,Accepted,0.81,0,0.22,0,0,0,0,Non-Reopened
rails,1199,Accepted,0.76,1,0.28,0,1,0,0,Non-Reopened
rails,29447,Accepted,0.5,1,1.86,0,3,5,2,Non-Reopened
rails,17698,Rejected,0.78,0,8.54,4,0,1,0,Non-Reopened
rails,2256,Accepted,0.78,4,0.01,0,1,5,9,Non-Reopened
rails,10481,Rejected,0.72,2,981.48,0,1,7,10,Non-Reopened
rails,23545,Rejected,0.59,2,4.05,1,1,8,3,Non-Reopened
rails,17185,Rejected,0.43,3,128.02,4,4,4,3,Non-Reopened
rails,27615,Rejected,0.86,2,47.58,0,1,13,2,Non-Reopened
rails,11033,Accepted,0.79,1,0.15,0,1,5,5,Non-Reopened
rails,2689,Rejected,0.67,1,9.56,5,0,19,25,Reopened
rails,24565,Rejected,0.87,0,0.01,4,0,0,0,Reopened
rails,16179,Rejected,0.85,1,0.22,3,1,5,4,Non-Reopened
rails,12743,Rejected,0.57,3,0.49,1,0,86,6,Reopened
rails,13279,Rejected,0.14,3,0.01,2,0,11,14,Reopened
rails,18834,Accepted,0.5,2,0.02,0,1,0,1,Non-Reopened
rails,24632,Accepted,0.78,1,0,0,1,0,2,Non-Reopened
rails,8889,Accepted,0.64,3,0.06,0,1,78,2,Non-Reopened
rails,19324,Rejected,0.81,7,16.98,0,0,172,7,Reopened
rails,25111,Rejected,0.52,6,325.03,4,0,147,143,Reopened
rails,6079,Accepted,0.86,1,0,0,1,0,1,Non-Reopened
rails,20232,Rejected,0.72,1,0.01,1,1,6,3,Non-Reopened
rails,28037,Rejected,0.33,1,0.06,2,1,0,1,Non-Reopened
rails,9837,Accepted,0.5,3,0.02,0,1,10,1,Non-Reopened
rails,7173,Accepted,0.77,1,0.05,0,1,1,1,Non-Reopened
rails,1712,Rejected,0.67,0,0,0,0,0,0,Non-Reopened
rails,5830,Accepted,0.5,0,0.02,0,0,7,0,Non-Reopened
rails,23786,Rejected,0.33,1,2.81,4,1,1,1,Non-Reopened
rails,14247,Accepted,0.79,3,116.09,0,1,9,5,Non-Reopened
rails,13035,Rejected,0.78,1,0.02,2,0,0,9,Reopened
rails,28057,Accepted,0.76,2,44.75,0,1,16,0,Non-Reopened
rails,5102,Accepted,0.87,2,0.02,0,2,44,28,Non-Reopened
rails,25540,Accepted,0.78,4,0.01,0,1,38,7,Non-Reopened
rails,29359,Accepted,0.93,1,0.6,0,1,6,0,Non-Reopened
rails,27879,Rejected,0,3,4.76,0,0,20,11,Reopened
rails,5138,Accepted,0.71,0,0.04,0,0,3,0,Non-Reopened
rails,5520,Rejected,0.5,0,90.1,3,0,1,0,Non-Reopened
rails,18292,Rejected,0.5,0,0.01,0,0,0,0,Non-Reopened
rails,19915,Rejected,0.33,1,0.05,1,1,4,0,Non-Reopened
rails,15498,Accepted,0.64,2,0.12,0,1,2,7,Non-Reopened
rails,19694,Accepted,0.71,2,0.28,0,1,2,0,Non-Reopened
rails,1293,Accepted,0.5,1,0.02,0,1,18,4,Non-Reopened
rails,6588,Accepted,0.67,0,0.01,0,0,3,0,Non-Reopened
rails,1470,Rejected,0.82,0,1.09,0,0,5,0,Non-Reopened
rails,27307,Rejected,0.68,2,14.93,10,1,0,8,Non-Reopened
rails,27539,Accepted,0.86,1,0.02,0,2,4,4,Non-Reopened
rails,17271,Accepted,0.72,1,0.04,0,1,9,13,Non-Reopened
rails,5911,Rejected,0,0,0.27,0,0,76,0,Non-Reopened
