fk_rails,pr_id,First_Status,FirstStatus,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes,Label
1,15603,1,Accepted,0.6,2,0.32,0,1,14,37,0,Non-Reopened
1,21013,0,Rejected,0.5,0,0.24,1,0,0,0,0,Non-Reopened
1,27303,1,Accepted,0.5,4,0.18,0,2,17,5,0,Non-Reopened
1,26439,0,Rejected,0.74,3,52.58,3,1,53,1,0,Non-Reopened
1,27367,1,Accepted,0.85,2,0.5,0,1,10,4,0,Non-Reopened
1,22394,1,Accepted,0.67,0,54.98,0,0,1,0,0,Non-Reopened
1,4503,0,Rejected,0.71,4,1.13,0,1,5,3,0,Non-Reopened
1,8420,0,Rejected,0.33,1,0.52,0,1,7,4,0,Non-Reopened
1,7429,0,Rejected,0.77,1,0.41,0,1,0,1,0,Non-Reopened
1,24925,1,Accepted,0.65,1,0,0,1,2,2,0,Non-Reopened
1,22338,1,Accepted,0.5,1,0.01,0,1,1,2,0,Non-Reopened
1,21528,1,Accepted,0.74,2,0.95,0,1,4,64,0,Non-Reopened
1,6696,1,Accepted,0.68,8,27.65,0,3,2,10,0,Non-Reopened
1,6668,1,Accepted,0.5,2,0.86,0,1,51,1,0,Non-Reopened
1,1648,1,Accepted,0.53,7,13.52,0,3,0,103,0,Non-Reopened
1,28385,1,Accepted,0.88,3,1.89,0,1,38,1,0,Non-Reopened
1,16938,1,Accepted,0.79,5,251.07,0,1,22,169,0,Non-Reopened
1,17475,0,Rejected,0.79,9,430.17,10,2,0,29,0,Non-Reopened
1,306,1,Accepted,0.45,2,0.62,0,1,0,2,0,Non-Reopened
1,8942,1,Accepted,0.77,1,0.01,0,1,6,0,0,Non-Reopened
1,22064,1,Accepted,0.86,3,0,0,1,13,13,0,Non-Reopened
1,3308,0,Rejected,0,0,0,0,0,0,0,0,Non-Reopened
1,12124,0,Rejected,0.81,3,482.43,1,1,3,4,0,Non-Reopened
1,1771,1,Accepted,0.86,1,0.09,0,1,0,3,0,Non-Reopened
1,9419,1,Accepted,0.25,3,0.39,0,1,116987,4,0,Non-Reopened
1,28928,1,Accepted,0.86,1,60.31,0,1,0,4,0,Non-Reopened
1,14952,1,Accepted,0.69,1,0.79,0,1,22,1,0,Non-Reopened
1,24628,0,Rejected,0.25,2,67.49,2,1,16,1,0,Non-Reopened
1,7541,0,Rejected,0.5,6,50.12,10,1,20,2,0,Non-Reopened
1,1308,0,Rejected,0.87,1,0.1,0,1,0,1,0,Non-Reopened
1,7371,1,Accepted,0.33,3,60.81,0,1,100,0,0,Non-Reopened
1,22349,0,Rejected,0.2,3,0.02,3,2,143,0,0,Non-Reopened
1,10225,1,Accepted,0.81,3,0.01,0,2,4,5,0,Non-Reopened
1,29393,0,Rejected,0,1,0.42,1,1,24,1,0,Non-Reopened
1,25902,1,Accepted,0.5,1,0.03,0,1,4,4,0,Non-Reopened
1,18702,0,Rejected,0,0,0,0,0,144,0,0,Non-Reopened
1,15437,1,Accepted,0.84,1,0.46,0,1,8,0,0,Non-Reopened
1,2671,0,Rejected,0.5,0,0.16,5,0,22033,0,0,Non-Reopened
1,23906,1,Accepted,0.68,2,0.02,0,1,0,1,0,Non-Reopened
